numberOfTurns,winType,player_0,player_1,unitLossTurn,unitLostPlayer,unitLostType,combinedStat,winner
150.000000,1,794,2270,34.000000,0,1,-1,1
150.000000,1,1668,1902,31.000000,1,3,3,1
150.000000,1,938,1128,25.000000,1,1,1,1
150.000000,1,1139,2173,30.000000,1,1,1,1
150.000000,1,1466,2173,23.000000,1,1,1,1
150.000000,1,1714,783,18.000000,1,1,1,0
150.000000,1,1159,2194,33.000000,1,1,1,1
150.000000,1,826,1876,34.000000,1,1,1,1
150.000000,1,1154,2029,26.000000,1,1,1,1
150.000000,1,506,2103,25.000000,1,1,1,1
150.000000,1,964,1516,27.000000,1,1,1,1
150.000000,1,851,1519,25.000000,1,1,1,1
150.000000,1,648,2051,32.000000,1,1,1,1
150.000000,1,604,1076,31.000000,1,3,3,1
148.000000,2,197,3122,33.000000,0,1,-1,1
150.000000,1,283,2454,35.000000,1,3,3,1
150.000000,1,1490,1387,29.000000,1,1,1,0
150.000000,1,1627,2058,49.000000,0,1,-1,1
150.000000,1,1040,1217,30.000000,1,3,3,1
150.000000,1,1152,2118,27.000000,1,1,1,1
150.000000,1,1956,594,30.000000,1,1,1,0
150.000000,1,248,2246,23.000000,1,1,1,1
150.000000,1,664,1837,29.000000,1,1,1,1
150.000000,1,1269,2219,31.000000,1,1,1,1
150.000000,1,1142,1585,32.000000,1,2,2,1
150.000000,1,1040,911,31.000000,1,1,1,0
150.000000,1,1267,2477,54.000000,1,1,1,1
150.000000,1,742,1819,61.000000,1,3,3,1
150.000000,1,1170,1614,34.000000,1,3,3,1
150.000000,1,1468,2325,52.000000,1,1,1,1
150.000000,1,785,1929,34.000000,0,1,-1,1
150.000000,1,740,1105,18.000000,1,1,1,1
150.000000,1,648,1724,30.000000,1,1,1,1
150.000000,1,1321,1272,65.000000,1,1,1,0
150.000000,1,1296,2457,27.000000,1,3,3,1
150.000000,1,1454,2315,44.000000,0,3,-3,1
150.000000,1,622,1976,40.000000,1,1,1,1
150.000000,1,346,2448,45.000000,1,2,2,1
150.000000,1,596,2464,47.000000,0,1,-1,1
150.000000,1,1704,1795,17.000000,1,1,1,1
150.000000,1,1376,2236,30.000000,1,2,2,1
150.000000,1,375,2329,47.000000,0,1,-1,1
150.000000,1,601,1719,29.000000,1,3,3,1
150.000000,1,1132,2518,41.000000,1,1,1,1
150.000000,1,1064,1604,27.000000,1,3,3,1
150.000000,1,1804,562,26.000000,1,3,3,0
150.000000,1,599,2011,44.000000,1,1,1,1
150.000000,1,811,2314,32.000000,1,1,1,1
150.000000,1,407,1400,28.000000,1,1,1,1
107.000000,2,3959,497,30.000000,1,3,3,0
150.000000,1,737,981,31.000000,1,1,1,1
150.000000,1,1666,828,28.000000,1,2,2,0
150.000000,1,547,2091,46.000000,1,1,1,1
150.000000,1,920,1200,25.000000,1,1,1,1
150.000000,1,672,2664,33.000000,1,2,2,1
150.000000,1,561,2077,18.000000,1,1,1,1
150.000000,1,1241,2050,32.000000,1,1,1,1
150.000000,1,1175,1985,35.000000,0,1,-1,1
150.000000,1,1484,1441,34.000000,1,1,1,0
150.000000,1,624,1932,18.000000,1,1,1,1
150.000000,1,1662,1792,27.000000,1,3,3,1
150.000000,1,392,766,30.000000,1,1,1,1
150.000000,1,1480,1952,35.000000,1,3,3,1
150.000000,1,548,2388,27.000000,1,1,1,1
150.000000,1,375,2148,33.000000,1,2,2,1
150.000000,1,1755,1467,29.000000,1,1,1,0
150.000000,1,1307,1273,59.000000,1,3,3,0
150.000000,1,740,1822,68.000000,1,3,3,1
150.000000,1,979,2251,57.000000,1,1,1,1
150.000000,1,708,1762,28.000000,1,2,2,1
150.000000,1,1468,2148,61.000000,1,2,2,1
150.000000,1,224,2424,51.000000,0,1,-1,1
150.000000,1,844,2012,31.000000,1,2,2,1
150.000000,1,1057,1860,28.000000,1,3,3,1
150.000000,1,1575,1738,27.000000,1,1,1,1
150.000000,1,643,2097,33.000000,1,3,3,1
150.000000,1,1164,2238,41.000000,1,1,1,1
150.000000,1,1364,1933,20.000000,1,1,1,1
150.000000,1,838,1943,31.000000,1,3,3,1
150.000000,1,934,1519,32.000000,1,1,1,1
150.000000,1,1555,980,28.000000,1,1,1,0
150.000000,1,1419,2048,26.000000,1,1,1,1
150.000000,1,678,2302,33.000000,1,3,3,1
150.000000,1,921,1717,29.000000,1,1,1,1
150.000000,1,641,845,20.000000,1,1,1,1
150.000000,1,1746,1608,18.000000,1,1,1,0
150.000000,1,907,1867,35.000000,1,1,1,1
150.000000,1,708,2132,29.000000,1,1,1,1
150.000000,1,1468,2474,45.000000,1,1,1,1
150.000000,1,1618,1887,41.000000,0,1,-1,1
150.000000,1,1468,2269,28.000000,1,1,1,1
150.000000,1,998,1910,40.000000,0,1,-1,1
150.000000,1,761,1297,50.000000,0,1,-1,1
150.000000,1,586,1252,34.000000,1,1,1,1
150.000000,1,772,2459,40.000000,1,2,2,1
150.000000,1,1483,1186,18.000000,1,1,1,0
150.000000,1,938,1452,28.000000,1,1,1,1
150.000000,1,1392,2126,23.000000,1,1,1,1
150.000000,1,1139,2512,31.000000,0,1,-1,1
150.000000,1,1352,2451,25.000000,1,1,1,1
150.000000,1,1355,2281,36.000000,1,2,2,1
150.000000,1,1160,2511,28.000000,1,1,1,1
150.000000,1,1286,2104,37.000000,0,1,-1,1
150.000000,1,608,1242,30.000000,1,1,1,1
150.000000,1,556,2494,36.000000,0,1,-1,1
150.000000,1,378,2167,36.000000,0,1,-1,1
150.000000,1,375,2109,34.000000,0,1,-1,1
150.000000,1,828,1929,31.000000,1,1,1,1
150.000000,1,1532,1414,20.000000,1,1,1,0
150.000000,1,1006,1021,27.000000,1,3,3,1
150.000000,1,580,1688,18.000000,1,1,1,1
150.000000,1,1090,2328,47.000000,1,1,1,1
150.000000,1,1668,2081,26.000000,1,1,1,1
150.000000,1,480,2078,37.000000,1,1,1,1
150.000000,1,1620,1186,18.000000,1,1,1,0
150.000000,1,404,2154,27.000000,1,1,1,1
150.000000,1,363,1776,27.000000,1,1,1,1
150.000000,1,112,2717,45.000000,1,1,1,1
150.000000,1,368,1422,30.000000,1,1,1,1
150.000000,1,1360,2248,27.000000,1,3,3,1
150.000000,1,1380,1163,25.000000,1,1,1,0
150.000000,1,1467,2341,46.000000,1,1,1,1
150.000000,1,1436,2076,28.000000,1,1,1,1
150.000000,1,166,2207,18.000000,1,1,1,1
150.000000,1,788,1628,27.000000,1,1,1,1
150.000000,1,756,1385,25.000000,1,1,1,1
150.000000,1,992,1870,31.000000,1,1,1,1
150.000000,1,702,1915,33.000000,1,3,3,1
150.000000,1,1172,873,28.000000,1,1,1,0
150.000000,1,659,1081,29.000000,1,1,1,1
150.000000,1,430,2319,18.000000,1,1,1,1
150.000000,1,644,1852,47.000000,1,2,2,1
150.000000,1,2220,268,20.000000,1,1,1,0
150.000000,1,423,2470,33.000000,0,1,-1,1
150.000000,1,313,2511,35.000000,0,1,-1,1
150.000000,1,1344,2328,27.000000,1,1,1,1
150.000000,1,1104,1716,30.000000,1,1,1,1
150.000000,1,798,840,26.000000,1,1,1,1
113.000000,2,3767,760,20.000000,1,1,1,0
150.000000,1,552,2456,36.000000,0,1,-1,1
150.000000,1,834,1941,50.000000,1,1,1,1
150.000000,1,1268,2676,36.000000,1,1,1,1
150.000000,1,1182,1897,47.000000,1,1,1,1
150.000000,1,890,1952,47.000000,1,1,1,1
150.000000,1,328,1717,44.000000,1,1,1,1
150.000000,1,223,1639,31.000000,1,1,1,1
150.000000,1,1313,1301,27.000000,1,1,1,0
150.000000,1,346,2298,31.000000,0,1,-1,1
150.000000,1,790,2141,32.000000,1,3,3,1
150.000000,1,536,2500,25.000000,1,1,1,1
150.000000,1,228,1641,29.000000,1,3,3,1
150.000000,1,1003,2262,51.000000,0,1,-1,1
150.000000,1,1546,1953,35.000000,0,1,-1,1
150.000000,1,839,2446,30.000000,1,3,3,1
150.000000,1,988,1980,28.000000,1,1,1,1
150.000000,1,1528,2041,18.000000,1,1,1,1
150.000000,1,1415,1928,25.000000,1,1,1,1
150.000000,1,1276,2258,18.000000,1,1,1,1
135.000000,2,3024,707,49.000000,1,3,3,0
150.000000,1,676,1633,28.000000,1,2,2,1
150.000000,1,678,2127,18.000000,1,1,1,1
150.000000,1,1455,2300,31.000000,1,1,1,1
150.000000,1,569,1948,37.000000,1,1,1,1
150.000000,1,1599,1760,27.000000,1,3,3,1
150.000000,1,274,2508,29.000000,1,1,1,1
150.000000,1,1384,2121,28.000000,1,1,1,1
150.000000,1,297,2797,33.000000,1,1,1,1
150.000000,1,2049,1290,26.000000,1,1,1,0
150.000000,1,782,2261,37.000000,0,1,-1,1
150.000000,1,1356,2133,28.000000,1,1,1,1
150.000000,1,1268,2664,88.000000,1,1,1,1
150.000000,1,620,2245,34.000000,0,1,-1,1
150.000000,1,425,2156,50.000000,0,1,-1,1
