TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
1,0,0,25,75,0.25,1.0,0.0,0,0
2,0,0,25,75,0.25,1.0,0.0,0,0
3,0,0,25,75,0.25,1.0,0.0,0,0
4,28,9,16,47,0.44,0.64,0.37333333333333335,0.7567567567567568,1.4933333333333332
5,46,16,9,29,0.55,0.36,0.6133333333333333,0.7419354838709677,2.453333333333333
6,75,24,1,0,0.76,0.04,1.0,0.7575757575757576,4.0
7,74,24,1,1,0.75,0.04,0.9866666666666667,0.7551020408163265,3.946666666666667
8,75,25,0,0,0.75,0.0,1.0,0.75,4.0
9,73,25,0,2,0.73,0.0,0.9733333333333334,0.7448979591836735,3.8933333333333335
10,66,17,8,9,0.74,0.32,0.88,0.7951807228915663,3.52
11,63,18,7,12,0.7,0.28,0.84,0.7777777777777778,3.36
12,60,22,3,15,0.63,0.12,0.8,0.7317073170731707,3.2
13,55,16,9,20,0.64,0.36,0.7333333333333333,0.7746478873239436,2.9333333333333336
14,43,12,13,32,0.56,0.52,0.5733333333333334,0.7818181818181819,2.2933333333333334
15,65,23,2,10,0.67,0.08,0.8666666666666667,0.7386363636363636,3.466666666666667
16,64,24,1,11,0.65,0.04,0.8533333333333334,0.7272727272727273,3.413333333333334
17,67,19,6,8,0.73,0.24,0.8933333333333333,0.7790697674418605,3.5733333333333333
18,63,21,4,12,0.67,0.16,0.84,0.75,3.36
19,66,22,3,9,0.69,0.12,0.88,0.75,3.52
20,67,21,4,8,0.71,0.16,0.8933333333333333,0.7613636363636364,3.5733333333333333
21,69,21,4,6,0.73,0.16,0.92,0.7666666666666667,3.6799999999999997
22,71,23,2,4,0.73,0.08,0.9466666666666667,0.7553191489361702,3.7866666666666666
23,75,24,1,0,0.76,0.04,1.0,0.7575757575757576,4.0
24,73,22,3,2,0.76,0.12,0.9733333333333334,0.7684210526315789,3.8933333333333335
25,74,24,1,1,0.75,0.04,0.9866666666666667,0.7551020408163265,3.946666666666667
26,73,25,0,2,0.73,0.0,0.9733333333333334,0.7448979591836735,3.8933333333333335
27,72,23,2,3,0.74,0.08,0.96,0.7578947368421053,3.84
28,70,24,1,5,0.71,0.04,0.9333333333333333,0.7446808510638298,3.7333333333333334
29,74,25,0,1,0.74,0.0,0.9866666666666667,0.7474747474747475,3.9466666666666668
