TurnNumber,TruePositive,FalsePositive,TrueNegative,Falsenegative,Accuracy,Specificity,Sensitivity
123,43,11,32,14,0.75,0.744186047,0.754385965
124,41,10,33,16,0.74,0.76744186,0.719298246
125,45,11,32,12,0.77,0.744186047,0.789473684
126,45,10,33,12,0.78,0.76744186,0.789473684
127,45,10,33,12,0.78,0.76744186,0.789473684
128,44,12,31,13,0.75,0.720930233,0.771929825
129,43,12,31,14,0.74,0.720930233,0.754385965
130,44,12,31,13,0.75,0.720930233,0.771929825
131,38,8,35,19,0.73,0.813953488,0.666666667
132,41,7,36,16,0.77,0.837209302,0.719298246
133,39,7,36,18,0.75,0.837209302,0.684210526
134,40,6,37,17,0.77,0.860465116,0.701754386
135,35,6,37,22,0.72,0.860465116,0.614035088
136,45,10,33,12,0.78,0.76744186,0.789473684
137,46,10,33,11,0.79,0.76744186,0.807017544
138,45,9,34,12,0.79,0.790697674,0.789473684
139,45,9,34,12,0.79,0.790697674,0.789473684
140,48,8,35,9,0.83,0.813953488,0.842105263
141,46,6,37,11,0.83,0.860465116,0.807017544
142,48,6,37,9,0.85,0.860465116,0.842105263
143,47,6,37,10,0.84,0.860465116,0.824561404
144,49,6,37,8,0.86,0.860465116,0.859649123
145,50,5,38,7,0.88,0.88372093,0.877192982
146,50,4,39,7,0.89,0.906976744,0.877192982
147,52,4,39,5,0.91,0.906976744,0.912280702
148,52,4,39,5,0.91,0.906976744,0.912280702
149,54,3,40,3,0.94,0.930232558,0.947368421
150,54,1,42,3,0.96,0.976744186,0.947368421
