28,random_actions,random_actions,150,1,0,1452,1269,0,118,112,0.7655554860830307,1.0811427712440491,\N,\N,\N,\N,\N,\N,\N,\N,6,0.7655554860830307,5,1.0811427712440491
40,random_actions,random_actions,150,1,0,2293,414,0,27,108,0,1.0857139825820923,\N,\N,\N,\N,1,0,\N,\N,\N,\N,1,1.0857139825820923
41,random_actions,random_actions,150,1,0,1861,799,0,132,109,0,0.9523810148239136,2,0,\N,\N,\N,\N,\N,\N,\N,\N,2,0.9523810148239136
45,random_actions,random_actions,150,1,0,1163,636,0,42,122,0,2.103492339452108,\N,\N,1,2.8666670322418213,4,0,\N,\N,\N,\N,2,1.721904993057251
53,random_actions,random_actions,150,1,1,151,1241,0,66,116,0.6149121721585592,1.7858571767807008,6,0.6149121721585592,2,2.6541669368743896,\N,\N,\N,\N,\N,\N,3,1.206984003384908
84,random_actions,random_actions,150,1,1,680,1789,0,132,100,1.2699874128614153,1.446491003036499,7,1.2699874128614153,5,1.446491003036499,\N,\N,\N,\N,\N,\N,\N,\N
145,random_actions,random_actions,150,1,0,1415,992,0,149,100,0,1.564911961555481,\N,\N,1,1.564911961555481,1,0,\N,\N,\N,\N,\N,\N
172,random_actions,random_actions,150,1,0,1046,791,0,95,104,2.1924811601638794,0.41126983302334946,7,2.1924811601638794,\N,\N,\N,\N,4,0.21999999787658453,\N,\N,2,0.7938095033168793
183,random_actions,random_actions,150,1,0,1103,780,0,114,100,0,1.7999999523162842,\N,\N,1,1.7999999523162842,\N,\N,\N,\N,1,0,\N,\N
205,random_actions,random_actions,150,1,1,837,891,0,33,100,0,2.173333386580149,\N,\N,2,2.8000000715255737,3,0,1,0.9200000166893005,\N,\N,\N,\N
210,random_actions,random_actions,150,1,0,1688,847,0,92,106,0.17500000074505806,0.6636365056037903,3,0.23333333432674408,\N,\N,\N,\N,4,0.6636365056037903,1,0,\N,\N
211,random_actions,random_actions,150,1,1,1376,1585,0,45,122,0,1.1228569746017456,\N,\N,\N,\N,2,0,1,0.5199999809265137,\N,\N,1,1.7257139682769775
223,random_actions,random_actions,150,1,0,1737,1318,0,86,100,0,1.6298249959945679,\N,\N,1,1.6298249959945679,1,0,\N,\N,\N,\N,\N,\N
228,random_actions,random_actions,150,1,0,1516,807,1,140,104,1.4498746991157532,0.863333386182785,7,1.4498746991157532,5,0.863333386182785,\N,\N,\N,\N,\N,\N,\N,\N
236,random_actions,random_actions,150,1,0,1448,1280,0,31,100,0.3500000014901161,0.727999997138977,\N,\N,\N,\N,6,0.3500000014901161,5,0.727999997138977,\N,\N,\N,\N
237,random_actions,random_actions,150,1,1,1504,1978,1,137,100,1.4368422269821166,1.1929525971412658,5,1.4368422269821166,\N,\N,\N,\N,\N,\N,\N,\N,5,1.1929525971412658
253,random_actions,random_actions,150,1,0,1446,1345,0,141,108,0.18666659593582152,0.36000000312924385,\N,\N,\N,\N,\N,\N,4,0.36000000312924385,5,0.18666659593582152,\N,\N
256,random_actions,random_actions,150,1,1,992,1703,0,95,124,0,0.7586365044116974,\N,\N,\N,\N,2,0,2,0.7586365044116974,\N,\N,\N,\N
267,random_actions,random_actions,150,1,0,1610,841,0,70,100,0,1.4684210419654846,\N,\N,1,2.3368420600891113,\N,\N,1,0.6000000238418579,2,0,\N,\N
270,random_actions,random_actions,150,1,0,1772,272,0,106,104,0,0.08909100294113159,\N,\N,\N,\N,\N,\N,1,0.08909100294113159,1,0,\N,\N
273,random_actions,random_actions,150,1,1,971,1492,1,107,114,0.40738099813461304,1.246428519487381,\N,\N,\N,\N,\N,\N,\N,\N,4,0.40738099813461304,4,1.246428519487381
283,random_actions,random_actions,150,1,1,1315,1617,0,65,106,0.6399999976158142,0.9098414977391561,\N,\N,\N,\N,5,0.6399999976158142,\N,\N,\N,\N,6,0.9098414977391561
311,random_actions,random_actions,150,1,0,1745,676,1,149,100,1.0738092362880707,0.7533333351214727,\N,\N,\N,\N,\N,\N,\N,\N,4,1.0738092362880707,6,0.7533333351214727
321,random_actions,random_actions,150,1,0,1373,211,0,57,119,0,0.4836359918117523,\N,\N,\N,\N,2,0,2,0.4836359918117523,\N,\N,\N,\N
370,random_actions,random_actions,150,1,0,1432,812,0,94,100,0.9833333293596903,1.0857144117355346,6,0.9833333293596903,\N,\N,\N,\N,\N,\N,\N,\N,5,1.0857144117355346
375,random_actions,random_actions,150,1,1,1565,1642,0,129,114,0,1.2419049739837646,\N,\N,\N,\N,\N,\N,\N,\N,1,0,1,1.2419049739837646
377,random_actions,random_actions,150,1,1,1588,1753,0,87,100,0.2356363981962204,0.8079999923706055,\N,\N,\N,\N,5,0.2356363981962204,5,0.8079999923706055,\N,\N,\N,\N
390,random_actions,random_actions,150,1,1,485,1145,0,75,100,0,0.12857100367546082,\N,\N,\N,\N,\N,\N,\N,\N,1,0,1,0.12857100367546082
