numberOfTurns,winType,player_1,player_2,groupLossTurn,groupLostPlayer,groupLostUnitType,combinedStat,winner
150.000000,1,758,1660,50.000000,0,1,-1,1
150.000000,1,1173,1178,40.000000,1,1,1,1
150.000000,1,782,1758,49.000000,0,1,-1,1
150.000000,1,505,775,40.000000,0,3,-3,1
150.000000,1,859,1367,47.000000,1,1,1,1
150.000000,1,697,655,35.000000,1,1,1,0
150.000000,1,1767,1247,35.000000,1,1,1,0
150.000000,1,1387,819,19.000000,1,1,1,0
150.000000,1,1586,1613,29.000000,0,1,-1,1
150.000000,1,1443,1488,33.000000,1,1,1,1
150.000000,1,1002,1010,29.000000,1,1,1,1
144.000000,2,2595,301,30.000000,1,1,1,0
150.000000,1,1136,1122,52.000000,1,1,1,0
150.000000,1,1472,324,25.000000,1,1,1,0
150.000000,1,1490,177,31.000000,0,3,-3,0
150.000000,1,1323,542,42.000000,1,1,1,0
150.000000,1,1158,360,51.000000,1,3,3,0
150.000000,1,1553,1243,30.000000,1,1,1,0
150.000000,1,924,1537,33.000000,0,1,-1,1
150.000000,1,1695,1443,19.000000,1,1,1,0
150.000000,1,1653,1936,37.000000,1,1,1,1
150.000000,1,1573,890,42.000000,0,1,-1,0
150.000000,1,1767,1302,52.000000,1,1,1,0
150.000000,1,1542,764,42.000000,1,1,1,0
150.000000,1,1941,680,54.000000,0,3,-3,0
150.000000,1,950,952,27.000000,0,1,-1,1
150.000000,1,1460,862,33.000000,1,1,1,0
150.000000,1,847,1510,27.000000,0,1,-1,1
150.000000,1,374,1823,42.000000,0,1,-1,1
150.000000,1,738,1154,44.000000,1,2,2,1
150.000000,1,1950,511,35.000000,1,1,1,0
150.000000,1,1192,493,25.000000,1,1,1,0
150.000000,1,1813,1269,42.000000,1,3,3,0
150.000000,1,1909,1654,27.000000,0,1,-1,0
150.000000,1,1399,831,17.000000,1,1,1,0
150.000000,1,1651,1441,26.000000,1,1,1,0
150.000000,1,1497,1607,41.000000,0,1,-1,1
150.000000,1,538,1711,45.000000,0,1,-1,1
150.000000,1,802,421,60.000000,0,1,-1,0
150.000000,1,1466,1315,33.000000,0,1,-1,0
150.000000,1,698,732,19.000000,1,1,1,1
150.000000,1,1543,844,20.000000,1,1,1,0
150.000000,1,880,356,26.000000,1,1,1,0
150.000000,1,1770,772,46.000000,1,1,1,0
150.000000,1,780,1072,44.000000,0,1,-1,1
150.000000,1,1437,1120,19.000000,1,1,1,0
150.000000,1,587,1188,50.000000,0,1,-1,1
150.000000,1,711,1063,29.000000,1,1,1,1
150.000000,1,2163,1014,43.000000,1,3,3,0
150.000000,1,1375,1429,26.000000,1,1,1,1
150.000000,1,1057,879,37.000000,1,1,1,0
150.000000,1,1566,1928,23.000000,1,1,1,1
150.000000,1,457,1048,35.000000,1,1,1,1
150.000000,1,473,1831,39.000000,0,3,-3,1
150.000000,1,798,504,40.000000,0,3,-3,0
150.000000,1,1212,1120,18.000000,0,1,-1,0
150.000000,1,1453,1758,25.000000,1,1,1,1
150.000000,1,1063,1585,49.000000,0,1,-1,1
150.000000,1,616,608,42.000000,1,1,1,0
150.000000,1,592,1793,34.000000,0,1,-1,1
150.000000,1,981,1615,31.000000,0,1,-1,1
150.000000,1,1635,1672,31.000000,0,1,-1,1
150.000000,1,1332,1467,34.000000,1,1,1,1
150.000000,1,1274,438,26.000000,0,1,-1,0
150.000000,1,1241,2052,20.000000,1,1,1,1
150.000000,1,1918,1242,43.000000,1,3,3,0
150.000000,1,741,902,27.000000,1,1,1,1
150.000000,1,1964,1331,52.000000,1,1,1,0
150.000000,1,1658,866,27.000000,1,1,1,0
150.000000,1,1708,818,32.000000,1,1,1,0
150.000000,1,979,1457,39.000000,0,1,-1,1
150.000000,1,1746,1501,21.000000,1,1,1,0
150.000000,1,794,1387,51.000000,1,1,1,1
150.000000,1,1840,585,72.000000,1,3,3,0
150.000000,1,1955,416,23.000000,0,1,-1,0
150.000000,1,1447,1031,38.000000,0,1,-1,0
150.000000,1,1201,1199,39.000000,0,3,-3,0
150.000000,1,687,1194,50.000000,0,3,-3,1
150.000000,1,1376,800,42.000000,1,1,1,0
150.000000,1,731,1067,25.000000,0,1,-1,1
150.000000,1,1799,1298,42.000000,0,1,-1,0
150.000000,1,778,686,40.000000,0,1,-1,0
150.000000,1,1256,1051,45.000000,1,1,1,0
150.000000,1,886,1525,22.000000,1,1,1,1
150.000000,1,2228,618,33.000000,1,1,1,0
150.000000,1,1413,1809,27.000000,1,1,1,1
150.000000,1,411,2070,37.000000,0,3,-3,1
150.000000,1,1250,559,19.000000,1,1,1,0
150.000000,1,1916,1602,38.000000,1,3,3,0
150.000000,1,551,1743,25.000000,0,1,-1,1
150.000000,1,1529,1420,27.000000,0,1,-1,0
150.000000,1,1815,1156,33.000000,0,2,-2,0
150.000000,1,1174,683,50.000000,1,3,3,0
150.000000,1,1604,519,26.000000,0,1,-1,0
150.000000,1,644,2084,37.000000,0,1,-1,1
150.000000,1,468,1724,18.000000,0,1,-1,1
150.000000,1,1985,1032,29.000000,1,1,1,0
150.000000,1,984,546,30.000000,1,1,1,0
150.000000,1,736,1362,56.000000,0,3,-3,1
150.000000,1,750,1056,27.000000,1,1,1,1
150.000000,1,1136,1591,28.000000,1,1,1,1
150.000000,1,2350,1223,37.000000,1,1,1,0
150.000000,1,651,1780,42.000000,0,2,-2,1
150.000000,1,1096,515,29.000000,0,1,-1,0
150.000000,1,1598,1910,44.000000,0,3,-3,1
150.000000,1,1011,510,25.000000,0,1,-1,0
150.000000,1,1629,1248,56.000000,1,1,1,0
150.000000,1,1730,542,51.000000,1,3,3,0
150.000000,1,388,1705,39.000000,0,1,-1,1
150.000000,1,1456,457,52.000000,1,1,1,0
150.000000,1,1325,804,31.000000,0,1,-1,0
150.000000,1,1299,241,55.000000,1,1,1,0
150.000000,1,1725,1580,29.000000,0,1,-1,0
150.000000,1,1260,1840,58.000000,0,1,-1,1
150.000000,1,1611,1342,38.000000,0,1,-1,0
150.000000,1,1600,1203,46.000000,0,1,-1,0
150.000000,1,850,1050,35.000000,1,1,1,1
150.000000,1,1305,1218,33.000000,1,1,1,0
150.000000,1,1932,1363,17.000000,1,1,1,0
150.000000,1,452,1268,40.000000,1,1,1,1
150.000000,1,1464,581,30.000000,1,1,1,0
150.000000,1,1734,1383,33.000000,0,3,-3,0
150.000000,1,1560,1749,41.000000,0,1,-1,1
150.000000,1,443,1750,20.000000,0,1,-1,1
150.000000,1,952,1318,44.000000,0,1,-1,1
150.000000,1,696,1496,66.000000,0,1,-1,1
150.000000,1,1420,1711,46.000000,0,1,-1,1
150.000000,1,1514,1155,48.000000,0,1,-1,0
150.000000,1,841,639,28.000000,0,1,-1,0
150.000000,1,1482,1168,43.000000,1,1,1,0
150.000000,1,2010,1077,24.000000,1,1,1,0
150.000000,1,465,2071,30.000000,1,1,1,1
150.000000,1,1793,852,27.000000,1,1,1,0
150.000000,1,1013,1226,48.000000,0,1,-1,1
150.000000,1,1451,1652,39.000000,0,1,-1,1
150.000000,1,1268,2012,58.000000,1,3,3,1
150.000000,1,1296,556,35.000000,1,1,1,0
150.000000,1,1140,1715,35.000000,1,3,3,1
150.000000,1,1441,1173,58.000000,0,2,-2,0
150.000000,1,698,2126,33.000000,0,3,-3,1
150.000000,1,1000,700,32.000000,1,1,1,0
