numberOfTurns,winType,player_0,player_1,unitLossTurn,unitLostPlayer,unitLostType,combinedStat,winner
150.000000,1,584,2263,33.000000,1,1,1,1
150.000000,1,447,1206,52.000000,1,3,3,1
150.000000,1,553,2448,51.000000,0,1,-1,1
150.000000,1,940,1398,24.000000,1,1,1,1
150.000000,1,993,853,51.000000,1,3,3,0
150.000000,1,730,1305,34.000000,1,1,1,1
150.000000,1,667,1140,32.000000,1,1,1,1
150.000000,1,915,1046,15.000000,1,1,1,1
150.000000,1,368,1216,24.000000,1,1,1,1
150.000000,1,462,1073,35.000000,1,1,1,1
150.000000,1,935,2015,72.000000,1,3,3,1
85.000000,2,2607,1272,53.000000,1,1,1,0
150.000000,1,773,704,32.000000,1,1,1,0
150.000000,1,490,1493,43.000000,1,1,1,1
150.000000,1,822,2037,32.000000,1,3,3,1
150.000000,1,780,747,35.000000,1,3,3,0
150.000000,1,792,1856,34.000000,1,1,1,1
150.000000,1,1471,1528,24.000000,1,1,1,1
150.000000,1,544,1476,24.000000,1,1,1,1
150.000000,1,1078,1064,30.000000,1,1,1,0
150.000000,1,772,1327,58.000000,1,3,3,1
150.000000,1,603,918,36.000000,1,1,1,1
123.000000,2,337,3111,25.000000,1,1,1,1
150.000000,1,809,1850,28.000000,1,1,1,1
150.000000,1,1346,895,24.000000,1,1,1,0
150.000000,1,1214,756,35.000000,1,3,3,0
150.000000,1,652,763,33.000000,1,2,2,1
150.000000,1,435,1140,61.000000,1,1,1,1
150.000000,1,284,2052,34.000000,1,1,1,1
150.000000,1,134,2896,30.000000,1,1,1,1
150.000000,1,717,828,31.000000,1,2,2,1
150.000000,1,994,1042,25.000000,1,1,1,1
122.000000,2,2820,770,24.000000,1,1,1,0
150.000000,1,1085,751,58.000000,1,1,1,0
150.000000,1,445,2070,39.000000,1,1,1,1
150.000000,1,326,2111,28.000000,1,1,1,1
150.000000,1,774,1851,31.000000,1,2,2,1
150.000000,1,345,2233,53.000000,1,2,2,1
150.000000,1,304,2029,58.000000,0,1,-1,1
150.000000,1,841,1591,32.000000,1,1,1,1
150.000000,1,880,2062,41.000000,1,1,1,1
150.000000,1,784,1684,75.000000,0,1,-1,1
147.000000,2,672,2631,30.000000,1,1,1,1
150.000000,1,527,2000,25.000000,1,1,1,1
150.000000,1,917,635,33.000000,1,1,1,0
150.000000,1,709,1142,54.000000,1,2,2,1
150.000000,1,703,416,30.000000,1,1,1,0
150.000000,1,603,1076,28.000000,1,1,1,1
150.000000,1,548,1550,38.000000,1,1,1,1
150.000000,1,499,1945,28.000000,1,1,1,1
150.000000,1,621,2081,24.000000,1,1,1,1
150.000000,1,1068,1177,40.000000,1,1,1,1
150.000000,1,691,1222,31.000000,1,3,3,1
79.000000,2,454,3645,35.000000,1,1,1,1
150.000000,1,675,1205,30.000000,1,2,2,1
84.000000,2,344,3538,49.000000,1,1,1,1
150.000000,1,716,2168,28.000000,1,1,1,1
150.000000,1,450,1535,46.000000,1,1,1,1
150.000000,1,946,2084,54.000000,1,3,3,1
150.000000,1,865,1242,33.000000,1,1,1,1
150.000000,1,822,835,28.000000,1,1,1,1
135.000000,2,2908,1090,35.000000,1,1,1,0
150.000000,1,547,1912,24.000000,1,1,1,1
150.000000,1,392,1937,30.000000,1,3,3,1
150.000000,1,1231,778,47.000000,1,1,1,0
150.000000,1,541,2172,78.000000,1,2,2,1
150.000000,1,631,2430,63.000000,0,1,-1,1
150.000000,1,588,1057,32.000000,1,1,1,1
150.000000,1,1109,936,31.000000,1,1,1,0
150.000000,1,609,1229,54.000000,1,1,1,1
150.000000,1,911,1022,33.000000,1,3,3,1
150.000000,1,874,1582,30.000000,1,1,1,1
150.000000,1,996,1123,32.000000,1,2,2,1
150.000000,1,620,2058,54.000000,1,3,3,1
150.000000,1,1135,418,28.000000,1,1,1,0
150.000000,1,907,2117,24.000000,1,1,1,1
150.000000,1,951,894,49.000000,1,1,1,0
150.000000,1,780,1384,29.000000,1,1,1,1
150.000000,1,492,2185,30.000000,1,1,1,1
150.000000,1,320,2118,35.000000,1,1,1,1
150.000000,1,411,1338,31.000000,1,1,1,1
150.000000,1,550,2136,45.000000,1,3,3,1
122.000000,2,2795,753,28.000000,1,1,1,0
150.000000,1,599,850,57.000000,1,1,1,1
150.000000,1,457,2143,56.000000,1,1,1,1
143.000000,2,2899,907,62.000000,1,1,1,0
150.000000,1,1521,717,38.000000,1,1,1,0
150.000000,1,1798,381,34.000000,1,3,3,0
150.000000,1,574,1017,53.000000,1,1,1,1
140.000000,2,2529,1028,15.000000,1,1,1,0
150.000000,1,333,2104,31.000000,1,3,3,1
140.000000,2,468,4058,32.000000,1,1,1,1
150.000000,1,756,1269,24.000000,1,1,1,1
150.000000,1,985,1789,25.000000,1,1,1,1
150.000000,1,560,2148,28.000000,1,1,1,1
150.000000,1,349,2353,89.000000,1,2,2,1
150.000000,1,604,2200,49.000000,1,1,1,1
150.000000,1,1753,628,29.000000,1,1,1,0
150.000000,1,253,2298,55.000000,1,3,3,1
150.000000,1,909,1031,32.000000,1,1,1,1
150.000000,1,576,2055,30.000000,1,3,3,1
150.000000,1,1006,1407,32.000000,1,1,1,1
150.000000,1,564,2070,24.000000,1,1,1,1
150.000000,1,1306,613,36.000000,1,3,3,0
150.000000,1,556,1970,29.000000,1,1,1,1
150.000000,1,649,1033,33.000000,1,2,2,1
150.000000,1,307,1755,55.000000,1,3,3,1
134.000000,2,2470,860,34.000000,1,1,1,0
150.000000,1,456,1376,43.000000,1,2,2,1
150.000000,1,854,1417,55.000000,0,1,-1,1
150.000000,1,530,1430,28.000000,1,1,1,1
150.000000,1,477,1311,30.000000,1,1,1,1
150.000000,1,840,1345,60.000000,1,1,1,1
150.000000,1,1587,1612,33.000000,1,3,3,1
150.000000,1,928,1134,14.000000,1,1,1,1
150.000000,1,997,567,28.000000,1,1,1,0
150.000000,1,586,1154,32.000000,1,1,1,1
150.000000,1,628,653,31.000000,1,1,1,1
63.000000,2,2822,1152,34.000000,1,2,2,0
150.000000,1,281,1771,60.000000,1,1,1,1
117.000000,2,606,2624,74.000000,1,3,3,1
150.000000,1,803,1066,41.000000,1,1,1,1
127.000000,2,2502,1634,33.000000,1,3,3,0
127.000000,2,2642,1098,74.000000,1,2,2,0
150.000000,1,710,898,33.000000,1,1,1,1
150.000000,1,1050,955,25.000000,1,1,1,0
150.000000,1,641,1144,33.000000,1,2,2,1
150.000000,1,190,1554,48.000000,0,1,-1,1
150.000000,1,629,967,43.000000,1,1,1,1
150.000000,1,598,988,39.000000,1,2,2,1
150.000000,1,724,2037,28.000000,1,1,1,1
150.000000,1,1181,2049,37.000000,1,1,1,1
150.000000,1,442,2012,29.000000,1,1,1,1
150.000000,1,1424,420,32.000000,1,1,1,0
150.000000,1,966,304,43.000000,1,3,3,0
150.000000,1,645,972,30.000000,1,1,1,1
150.000000,1,876,2019,28.000000,1,1,1,1
150.000000,1,266,1528,30.000000,1,3,3,1
150.000000,1,761,920,24.000000,1,1,1,1
150.000000,1,618,807,29.000000,1,1,1,1
150.000000,1,220,1833,48.000000,1,1,1,1
150.000000,1,626,871,37.000000,1,1,1,1
150.000000,1,1154,1267,40.000000,1,1,1,1
150.000000,1,424,2082,30.000000,1,1,1,1
150.000000,1,948,2044,30.000000,1,1,1,1
150.000000,1,589,1084,28.000000,1,1,1,1
150.000000,1,785,1303,47.000000,1,3,3,1
150.000000,1,178,1208,37.000000,1,1,1,1
150.000000,1,390,2065,47.000000,0,1,-1,1
150.000000,1,959,2110,53.000000,1,1,1,1
