numberOfTurns,winType,player_1,player_2,groupLossTurn,groupLostPlayer,groupLostUnitType,combinedStat,winner
95.000000,2,2555,1667,26.000000,0,1,-1,0
88.000000,2,2421,1476,28.000000,0,1,-1,0
87.000000,2,2346,1747,27.000000,0,1,-1,0
74.000000,2,2589,1453,32.000000,1,3,3,0
85.000000,2,3168,1341,29.000000,1,1,1,0
88.000000,2,2244,1574,25.000000,0,1,-1,0
82.000000,2,3088,1084,28.000000,1,3,3,0
95.000000,2,2616,1323,28.000000,0,1,-1,0
75.000000,2,3408,1070,27.000000,1,3,3,0
74.000000,2,2863,1276,35.000000,1,3,3,0
93.000000,2,2488,1064,27.000000,0,1,-1,0
82.000000,2,2356,1273,34.000000,1,3,3,0
85.000000,2,2412,1586,28.000000,0,1,-1,0
89.000000,2,2416,1169,28.000000,0,1,-1,0
78.000000,2,2422,1461,27.000000,1,3,3,0
150.000000,1,1001,936,25.000000,1,1,1,0
98.000000,2,2382,1677,28.000000,0,1,-1,0
86.000000,2,2328,1597,25.000000,0,1,-1,0
89.000000,2,2373,1680,12.000000,1,1,1,0
89.000000,2,2512,1690,26.000000,0,1,-1,0
81.000000,2,2489,1682,28.000000,1,3,3,0
91.000000,2,2340,1493,24.000000,0,1,-1,0
76.000000,2,2462,968,27.000000,1,2,2,0
96.000000,2,2286,1466,25.000000,0,1,-1,0
88.000000,2,3468,958,26.000000,1,1,1,0
102.000000,2,2540,1013,27.000000,1,1,1,0
93.000000,2,3076,1312,29.000000,0,1,-1,0
88.000000,2,2383,1584,30.000000,0,1,-1,0
150.000000,1,762,2473,27.000000,0,1,-1,1
87.000000,2,3511,949,25.000000,1,1,1,0
85.000000,2,2180,1511,35.000000,0,1,-1,0
87.000000,2,2665,1248,28.000000,1,3,3,0
150.000000,1,986,2243,41.000000,0,1,-1,1
79.000000,2,2457,1406,12.000000,1,1,1,0
89.000000,2,2638,1483,27.000000,0,1,-1,0
86.000000,2,2452,1569,28.000000,1,1,1,0
81.000000,2,2376,1343,32.000000,1,3,3,0
92.000000,2,2596,1221,18.000000,1,3,3,0
85.000000,2,3272,1492,27.000000,0,1,-1,0
74.000000,2,2479,1350,51.000000,1,1,1,0
150.000000,1,1128,940,28.000000,1,1,1,0
85.000000,2,2360,1276,29.000000,0,1,-1,0
87.000000,2,2576,1506,30.000000,0,1,-1,0
94.000000,2,2461,1522,26.000000,1,1,1,0
85.000000,2,2716,1489,27.000000,0,1,-1,0
85.000000,2,2368,1665,26.000000,1,1,1,0
73.000000,2,2529,1266,28.000000,1,1,1,0
78.000000,2,2487,1367,30.000000,1,3,3,0
75.000000,2,2552,1282,25.000000,1,3,3,0
87.000000,2,2220,1216,28.000000,0,1,-1,0
85.000000,2,2372,1236,29.000000,1,2,2,0
91.000000,2,2604,1172,25.000000,0,1,-1,0
76.000000,2,2579,1134,26.000000,1,3,3,0
87.000000,2,2104,1760,27.000000,0,1,-1,0
85.000000,2,2392,1711,12.000000,1,1,1,0
88.000000,2,2350,1131,32.000000,0,1,-1,0
150.000000,1,810,2099,29.000000,1,1,1,1
96.000000,2,2329,1338,26.000000,0,1,-1,0
89.000000,2,2609,1496,28.000000,0,1,-1,0
89.000000,2,2588,1492,25.000000,0,1,-1,0
150.000000,1,1140,2258,27.000000,1,2,2,1
82.000000,2,3095,1187,25.000000,1,1,1,0
78.000000,2,2442,1452,27.000000,1,2,2,0
75.000000,2,2703,1046,40.000000,1,1,1,0
86.000000,2,3112,1494,18.000000,1,1,1,0
87.000000,2,3136,1683,26.000000,0,1,-1,0
88.000000,2,2376,1300,30.000000,1,1,1,0
87.000000,2,2348,1876,27.000000,0,1,-1,0
86.000000,2,3080,1440,28.000000,1,1,1,0
74.000000,2,2470,1488,28.000000,1,3,3,0
78.000000,2,3170,1343,24.000000,1,1,1,0
74.000000,2,2593,1195,26.000000,1,3,3,0
88.000000,2,2448,1436,28.000000,1,1,1,0
100.000000,2,2224,1716,29.000000,0,1,-1,0
85.000000,2,3080,1245,25.000000,1,1,1,0
86.000000,2,2472,1731,32.000000,0,1,-1,0
87.000000,2,2544,1155,12.000000,1,1,1,0
90.000000,2,2403,1315,33.000000,0,1,-1,0
90.000000,2,2424,1749,29.000000,0,1,-1,0
81.000000,2,3087,1488,31.000000,1,2,2,0
89.000000,2,3288,1482,28.000000,0,1,-1,0
87.000000,2,2368,1288,27.000000,0,1,-1,0
90.000000,2,2327,1308,18.000000,1,1,1,0
80.000000,2,2388,1260,26.000000,1,1,1,0
85.000000,2,2488,1536,28.000000,1,1,1,0
150.000000,1,1374,2150,18.000000,1,3,3,1
88.000000,2,2504,1424,30.000000,0,1,-1,0
76.000000,2,3104,1340,49.000000,1,3,3,0
150.000000,1,590,1738,18.000000,1,1,1,1
76.000000,2,2488,1408,28.000000,1,1,1,0
80.000000,2,2658,1086,26.000000,1,1,1,0
87.000000,2,3103,1514,26.000000,1,1,1,0
86.000000,2,2372,1692,29.000000,0,1,-1,0
85.000000,2,2408,1719,32.000000,0,1,-1,0
77.000000,2,2493,1333,26.000000,1,3,3,0
78.000000,2,2645,1259,25.000000,1,1,1,0
82.000000,2,2468,1341,31.000000,1,3,3,0
94.000000,2,2580,1452,25.000000,0,1,-1,0
88.000000,2,2660,1658,32.000000,1,3,3,0
87.000000,2,2108,1298,49.000000,1,1,1,0
75.000000,2,3299,1356,25.000000,1,1,1,0
90.000000,2,2500,1175,18.000000,1,1,1,0
85.000000,2,2648,1274,23.000000,0,1,-1,0
85.000000,2,2472,1334,29.000000,0,1,-1,0
91.000000,2,2312,1752,27.000000,0,1,-1,0
150.000000,1,1658,1498,29.000000,1,3,3,0
87.000000,2,2336,1152,28.000000,0,1,-1,0
150.000000,1,1372,1026,24.000000,1,1,1,0
88.000000,2,2533,1254,34.000000,1,2,2,0
