TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,FScore
85,46,11,32,11,0.78,0.744186047,0.807017544,0.807017544,3.228070175
86,46,18,25,11,0.71,0.581395349,0.807017544,0.71875,3.228070175
87,45,16,27,12,0.72,0.627906977,0.789473684,0.737704918,3.157894737
88,43,19,24,14,0.67,0.558139535,0.754385965,0.693548387,3.01754386
89,42,13,30,15,0.72,0.697674419,0.736842105,0.763636364,2.947368421
90,43,14,29,14,0.72,0.674418605,0.754385965,0.754385965,3.01754386
91,39,10,33,18,0.72,0.76744186,0.684210526,0.795918367,2.736842105
92,40,11,32,17,0.72,0.744186047,0.701754386,0.784313725,2.807017544
93,40,12,31,17,0.71,0.720930233,0.701754386,0.769230769,2.807017544
94,44,14,29,13,0.73,0.674418605,0.771929825,0.75862069,3.087719298
95,45,12,31,12,0.76,0.720930233,0.789473684,0.789473684,3.157894737
96,43,16,27,14,0.7,0.627906977,0.754385965,0.728813559,3.01754386
97,42,15,28,15,0.7,0.651162791,0.736842105,0.736842105,2.947368421
98,39,14,29,18,0.68,0.674418605,0.684210526,0.735849057,2.736842105
99,37,11,32,20,0.69,0.744186047,0.649122807,0.770833333,2.596491228
100,37,8,35,20,0.72,0.813953488,0.649122807,0.822222222,2.596491228
101,40,11,32,17,0.72,0.744186047,0.701754386,0.784313725,2.807017544
102,42,11,32,15,0.74,0.744186047,0.736842105,0.79245283,2.947368421
103,42,10,33,15,0.75,0.76744186,0.736842105,0.807692308,2.947368421
104,42,11,32,15,0.74,0.744186047,0.736842105,0.79245283,2.947368421
105,44,11,32,13,0.76,0.744186047,0.771929825,0.8,3.087719298
106,42,13,30,15,0.72,0.697674419,0.736842105,0.763636364,2.947368421
107,43,10,33,14,0.76,0.76744186,0.754385965,0.811320755,3.01754386
108,44,15,28,13,0.72,0.651162791,0.771929825,0.745762712,3.087719298
109,43,14,29,14,0.72,0.674418605,0.754385965,0.754385965,3.01754386
110,44,17,26,13,0.7,0.604651163,0.771929825,0.721311475,3.087719298
111,39,11,32,18,0.71,0.744186047,0.684210526,0.78,2.736842105
112,40,10,33,17,0.73,0.76744186,0.701754386,0.8,2.807017544
113,40,8,35,17,0.75,0.813953488,0.701754386,0.833333333,2.807017544
114,37,7,36,20,0.73,0.837209302,0.649122807,0.840909091,2.596491228
115,38,8,35,19,0.73,0.813953488,0.666666667,0.826086957,2.666666667
116,33,11,32,24,0.65,0.744186047,0.578947368,0.75,2.315789474
117,33,11,32,24,0.65,0.744186047,0.578947368,0.75,2.315789474
118,32,11,32,25,0.64,0.744186047,0.561403509,0.744186047,2.245614035
119,34,10,33,23,0.67,0.76744186,0.596491228,0.772727273,2.385964912
120,35,12,31,22,0.66,0.720930233,0.614035088,0.744680851,2.456140351
121,41,13,30,16,0.71,0.697674419,0.719298246,0.759259259,2.877192982
