1,917,1088,1,150,1,1
2,1540,1749,1,150,1,1
3,1371,808,1,150,1,0
4,853,631,1,150,1,0
5,1279,1085,1,150,1,0
6,452,1375,0,150,1,1
7,1883,1528,1,150,1,0
8,728,1292,0,150,1,1
9,1041,782,0,150,1,0
10,555,892,0,150,1,1
11,1740,1368,0,150,1,0
12,790,1286,0,150,1,1
13,516,727,0,150,1,1
14,1239,2183,0,150,1,1
15,386,1020,0,150,1,1
16,2050,1373,1,150,1,0
17,1182,847,1,150,1,0
18,1370,966,1,150,1,0
19,947,957,0,150,1,1
20,958,1376,1,150,1,1
21,1696,1064,0,150,1,0
22,958,561,1,150,1,0
23,1406,927,0,150,1,0
24,2200,1307,0,150,1,0
25,1390,1190,1,150,1,0
26,497,2216,1,150,1,1
27,2026,1074,0,150,1,0
28,1452,1269,1,150,1,0
29,959,980,1,150,1,1
30,1466,1163,0,150,1,0
31,1026,593,1,150,1,0
32,1341,840,0,150,1,0
33,1349,470,0,150,1,0
34,1186,1503,0,150,1,1
35,1767,562,0,150,1,0
36,323,1306,0,150,1,1
37,968,1631,1,150,1,1
38,810,830,1,150,1,1
39,1457,668,1,150,1,0
40,2293,414,1,150,1,0
41,1861,799,1,150,1,0
42,1731,1271,1,150,1,0
44,578,773,1,150,1,1
45,1163,636,0,150,1,0
46,1100,1033,0,150,1,0
47,1577,718,0,150,1,0
48,684,1857,1,150,1,1
49,1364,818,1,150,1,0
50,1432,1088,1,150,1,0
51,1399,1768,0,150,1,1
52,1424,853,0,150,1,0
53,151,1241,0,150,1,1
55,1080,352,1,150,1,0
56,1010,983,1,150,1,0
57,876,1924,1,150,1,1
58,1051,887,0,150,1,0
59,1442,1595,0,150,1,1
60,1360,1080,1,150,1,0
61,1652,693,0,150,1,0
62,902,649,1,150,1,0
63,1943,1337,1,150,1,0
64,1349,609,1,150,1,0
65,441,2259,0,150,1,1
66,1638,1280,1,150,1,0
67,1356,1227,1,150,1,0
69,1449,1841,0,150,1,1
70,1451,1094,0,150,1,0
72,1176,1279,0,150,1,1
73,1494,1554,0,150,1,1
74,524,687,1,150,1,1
75,1333,1294,0,150,1,0
76,1542,368,1,150,1,0
78,1091,1527,0,150,1,1
79,1493,1004,1,150,1,0
80,1776,737,1,150,1,0
81,1251,1450,0,150,1,1
83,1776,835,1,150,1,0
84,680,1789,0,150,1,1
85,279,1123,1,150,1,1
86,2476,780,1,150,1,0
87,1630,1791,0,150,1,1
88,2009,521,1,150,1,0
89,1712,520,1,150,1,0
90,2248,1102,1,150,1,0
91,1282,925,0,150,1,0
92,776,1007,0,150,1,1
93,1866,1556,1,150,1,0
94,856,974,0,150,1,1
96,1646,1243,1,150,1,0
97,1561,1271,1,150,1,0
98,764,1666,0,150,1,1
99,1744,1232,1,150,1,0
100,1212,1434,0,150,1,1
103,1658,1684,1,150,1,1
104,666,969,1,150,1,1
105,838,1286,0,150,1,1
107,833,642,1,150,1,0
108,1519,33,1,150,1,0
110,1714,881,0,150,1,0
112,1221,1443,1,150,1,1
113,1778,1591,1,150,1,0
114,375,919,0,150,1,1
115,909,705,1,150,1,0
116,1229,1845,0,150,1,1
117,1783,1662,0,150,1,0
